Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Event Id,Event Date,Event Duration
0.0859375000,0,-54668.8789062500,-37776.6484375000,-50878.0820312500,-2515.5983886719,-79656.7031250000,-44203.1601562500,-73445.4687500000,-34582.5664062500,-102070.0390625000,-98812.8671875000,-64113.5039062500,-57626.5546875000,-79508.3203125000,-51575.4726562500,-65918.1171875000,-67476.5234375000,,,
0.0898437500,0,-54675.1796875000,-37784.8710937500,-50885.9765625000,-2520.0639648438,-79658.4296875000,-44203.2578125000,-73426.0000000000,-34583.6367187500,-102070.0390625000,-98807.9375000000,-64114.2578125000,-57627.9140625000,-79510.2421875000,-51570.0312500000,-65916.2578125000,-67477.7265625000,,,
0.0937500000,0,-54685.8984375000,-37796.4570312500,-50897.4257812500,-2532.7060546875,-79669.1875000000,-44212.7031250000,-73459.6328125000,-34598.1757812500,-102070.0390625000,-98815.7421875000,-64125.2343750000,-57638.3671875000,-79519.8203125000,-51578.1015625000,-65925.2031250000,-67487.1484375000,,,
0.0976562500,0,-54689.1992187500,-37798.7539062500,-50896.6015625000,-2536.2834472656,-79682.1093750000,-44225.6718750000,-73503.2656250000,-34612.4492187500,-102070.0390625000,-98830.6484375000,-64136.9140625000,-57648.3437500000,-79530.6718750000,-51592.0312500000,-65938.4375000000,-67492.7890625000,,,
0.1015625000,0,-54684.9882812500,-37792.3046875000,-50885.7343750000,-2533.7282714844,-79680.4531250000,-44228.1796875000,-73512.4140625000,-34612.3164062500,-102070.0390625000,-98831.1328125000,-64135.8203125000,-57646.5312500000,-79529.3203125000,-51596.4960937500,-65941.3125000000,-67488.7109375000,,,
0.1054687500,0,-54680.3867187500,-37787.4257812500,-50878.0664062500,-2526.4519042969,-79675.1015625000,-44224.1406250000,-73515.7734375000,-34604.1875000000,-102070.0390625000,-98825.2343750000,-64129.7500000000,-57640.5351562500,-79525.3671875000,-51592.3125000000,-65936.5937500000,-67484.6484375000,,,
0.1093750000,0,-54686.5312500000,-37793.0625000000,-50881.3906250000,-2526.2692871094,-79669.4531250000,-44217.5078125000,-73492.5000000000,-34596.3984375000,-102070.0390625000,-98816.7656250000,-64125.4179687500,-57636.1289062500,-79520.9375000000,-51584.7070312500,-65927.2578125000,-67481.5625000000,,,
0.1132812500,0,-54698.0937500000,-37804.9726562500,-50888.3359375000,-2534.0202636719,-79653.6875000000,-44208.9648437500,-73457.2031250000,-34591.8007812500,-102070.0390625000,-98814.1796875000,-64125.1015625000,-57635.6171875000,-79521.0312500000,-51585.3164062500,-65925.2656250000,-67480.9296875000,,,
0.1171875000,0,-54698.6640625000,-37809.2421875000,-50887.4375000000,-2538.3884277344,-79673.6171875000,-44215.1718750000,-73470.1093750000,-34595.4375000000,-102070.0390625000,-98820.8281250000,-64129.2265625000,-57638.4882812500,-79525.0468750000,-51590.1328125000,-65929.8593750000,-67482.1953125000,,,
0.1210937500,0,-54678.7226562500,-37797.9765625000,-50872.3476562500,-2529.8833007813,-79676.7031250000,-44212.2148437500,-73469.9375000000,-34593.4804687500,-102070.0390625000,-98821.5078125000,-64128.4609375000,-57635.3515625000,-79524.6718750000,-51589.3906250000,-65929.1953125000,-67478.4296875000,,,
0.1250000000,1,-54661.3828125000,-37781.0507812500,-50857.2968750000,-2519.0053710938,-79667.0234375000,-44201.4453125000,-73429.8203125000,-34582.1875000000,-102070.0390625000,-98812.2265625000,-64121.5703125000,-57627.4882812500,-79518.4140625000,-51579.1601562500,-65920.1406250000,-67469.3281250000,,,
